run,seed,M,K,global_scale,baseline,baseline_us,triton_us,speedup
reverse.jsonl,109,256,7168,1.0,cute_no_pdl,3.187839984893799,2.778240144252777,1.14743140238915
reverse.jsonl,109,256,7168,32.0,cute_default,3.3107200264930725,3.1468799710273743,1.0520642849343278
reverse.jsonl,109,256,7168,32.0,cute_no_pdl,3.4745600819587708,3.1468799710273743,1.1041285698686554
reverse.jsonl,109,512,4096,1.0,cute_default,3.0239999294281006,2.689279913902283,1.1244645504528836
reverse.jsonl,109,512,4096,1.0,cute_no_pdl,3.2233600318431854,2.689279913902283,1.1985959569251103
reverse.jsonl,109,512,4096,32.0,cute_default,3.0291199684143066,2.614400088787079,1.158629079537567
reverse.jsonl,109,512,4096,32.0,cute_no_pdl,3.2287999987602234,2.614400088787079,1.2350060775350526
reverse.jsonl,109,1024,4096,1.0,cute_default,4.293760061264038,4.007039964199066,1.0715540897087814
reverse.jsonl,109,1024,4096,1.0,cute_no_pdl,4.5395201444625854,4.007039964199066,1.1328861666020225
reverse.jsonl,109,1024,4096,32.0,cute_default,4.621439874172211,4.508800059556961,1.0249822154736037
reverse.jsonl,109,1024,4096,32.0,cute_no_pdl,4.949119985103607,4.508800059556961,1.0976578956109029
reverse.jsonl,109,4096,7168,1.0,cute_default,25.162880420684814,18.793279528617862,1.3389297159320974
reverse.jsonl,109,4096,7168,1.0,cute_no_pdl,25.377919673919674,18.793279528617862,1.3503720644007295
reverse.jsonl,109,4096,7168,32.0,cute_default,23.032960891723633,17.288320064544678,1.3322845022380287
reverse.jsonl,109,4096,7168,32.0,cute_no_pdl,23.03328037261963,17.288320064544678,1.3323029818181618
reverse.jsonl,109,16384,4096,1.0,cute_default,93.3407974243164,91.29248142242433,1.022436853177582
reverse.jsonl,109,16384,4096,1.0,cute_no_pdl,93.17695617675781,91.29248142242433,1.0206421681717
reverse.jsonl,109,16384,4096,32.0,cute_default,93.26879978179932,91.47711753845215,1.019586124831645
reverse.jsonl,109,16384,4096,32.0,cute_no_pdl,93.0844783782959,91.47711753845215,1.0175711793626214
